,text,sen
0,speed generally know ftx dumping sending crypto atm anybody reasonably gauge catastrophic,-1
1,interstellarbit thanks folo fear losing bitcoin ponzi scam shitcoin,-1
2,nasty might approached party moment everyone realizes value thing make original creator ton money btc btcusd bitcoin,-1
3,apompliano depends time frame bear right dangerous ground bitcoin hold,-1
4,btc also coming support level one doesnt hold towards k possible,-1
5,im sad day next paycheck,-1
6,gon na drop buy halp edit oh shit went lil bit,-1
7,news block bitcoin fall btc btc bitcoin bitcoin,-1
8,thecryptolark see dead btc,-1
9,ripple seems left red zone bitcoin please wake,-1
10,manipulation peek ftx bitcoin binance,-1
11,went shit dip hurting,-1
12,singapore authority issue crypto warning pm fall prey scammer bitcoin,-1
13,bitcoin holding firm crypto june made way thru cheerleader salesman find meme trader gambler finally find serious guy making sense say concerned fed printing money c mon really headache,-1
14,bought dip selling making power move,-1
15,start selling btc bitcoin bear market stay least year untill good luck,-1
16,ev market share already dropping like rock,-1
17,bitcoin dead crypto tweeter fake going rekt enjoy,-1
18,moving ftx today binance failed hour still done refe,-1
19,jpmorgan analyst stated bitcoin poor hedge equity drawdowns newsflash btc also poor,-1
20,bitcoin dying,-1
21,coinbase pro allow withdraw bc address withdrawal failing,-1
22,trading bitcoin currency everyone want week cant handle drop week thats beginning witchcraft olawale daniel forex btc cryptocurrency,-1
23,apompliano apompliano kevinolearytv pretty stupid come btc,-1
24,ok thats entering mental sickness stage,-1
25,smart company wouldnt say getting bitcoin wouldnt want spike price would,-1
26,youre probably overtrading impatient pick good coin hold stop fomoing,-1
27,yeah dat i nott looking good bitcoin,-1
28,bitcoin offer black friday deal subk btc price like must pony somewhere,-1
29,bitcoin looking shocking rn,-1
30,feel going brake support btc chart sooner weekly picture say lot large investor cooking something really big b e c r e f u l,-1
31,analyst accurately called massive bitcoin crash bad news crypto trader new target,-1
32,ethereum better bitcoin better money continues scale meet demand better finance supporting service required money defi better store value lower inflation long term security,-1
33,take away delete button twitter people stop getting people rekt bitcoin,-1
34,path year bitcoin actual change expectation continuation,-1
35,bad bitcoin triangle sine june th really lack volume pump cctipcom airdrop eth,-1
36,mamawhale always pay pbr fuck bitcoin,-1
37,word regulation triggering cryptocurrency bitcoin community lol,-1
38,new york clamp bitcoin mining newly passed bill,-1
39,bitcoin week social volume price btc bitcoin lunarshare lunarcrush,-1
40,major bitcoin relief rally imminent seller lose confidence say crypto analyst nicholas merten,-1
41,nice vechain shill account dont tell u youre dirty mid thirty bottom dweller could tell,-1
42,bitcoin broke k support looking good,-1
43,bitcoin okay bro,-1
44,surprised people trust sbf crypto scam account k follower bitcoin related fake news time people able verify information anymore,-1
45,bitcoin downtrend intact support k,-1
46,glassnode total bitcoin balance exchange continues decline btc cryptocurrency,-1
47,black friday deal crypto smh ada ethereum bitcoin,-1
48,curious see new imaginary support line permanentbull guy find bitcoin fall expectation,-1
49,fossgregfoss dylanleclair susiebdds dare btc,-1
50,btc probably bottom around kk,-1
51,humanifold blockstream shesek sorry interested bitcoin better coin,-1
52,bitcoin fear greed terra luna classic scam via youtube,-1
53,bitcoin price failed break past level news potential shutdown binance japan broke,-1
54,dunno risk earning interest holding btc worth lot risk managing crypto people,-1
55,microstrategy stock tank bitcoin sp nasdaq rally btc bitcoin cryptocurrency xbt,-1
56,cryptosavy couldnt agree ive started calling im tired seeing one sentence tweet bitcoin rocket emojis,-1
57,sold bought many occasion portfolio red since began right game shark know cheat code,-1
58,otherkindsmoney worried exchange filing bankruptcy btc people invested crypto via exchange stuck,-1
59,illusionfoxe fact mining bitcoin actually end spending bunch money andor burning house,-1
60,bitcoin go lower fast soon,-1
61,see havent wanted buy,-1
62,sound even bad lol thats something worse gambling,-1
63,btc guru talking giant head shoulder weekly tf scenario happenswe see k even lower bitcoin,-1
64,im stupid enough invest something isnt backed anything,-1
65,btcarchive someone sent eth try bitcoin,-1
66,total crypto market cap continues crumble dollar index hit year high crypto bitcoin cryptocurrency,-1
67,twitter specific coin related telegram group might infested scammer well youre probably better find better sub pls let know,-1
68,add two letter ch somwhere bitcoin yeah right swiss bank conpiracy theory shit buy crap,-1
69,well peterschiff wrong fed destroy asset market wrong treating bitcoin riskon asset bitcoin decouple month head higher good altcoins like eth sol head many destroyed blood come,-1
70,hey man scalping short long short long couldnt take red circle difficult judgedammit enough trading ability btc,-1
71,trying crash price buy cheaper cryptocurrency bitcoin cryptocrash,-1
72,bitcoin may last much longer academic warns,-1
73,looking indicator might right according fibonacci chart extension blowoff top k range year bear market,-1
74,always leaf little amount anything like buy coin minimum amount purchase annoying,-1
75,send k bitcoin cryptocrash,-1
76,jpmorgan chase reportedly shuts bank account bitcoin mining firm bitcoin btc,-1
77,btc retraced time high still le retracement past september btc crypto bitcoin,-1
78,pewdagoat frostytheproto nft bitcoin oh sorry cant hear metamask trust wallet got lost nfts mine stolen need sugar daddy well forgot say coinbase account got hacked note assistance get hearing work,-1
79,bitcoin price near bottom k dip say bullish institutional report,-1
80,bitcoin worst multiday slump since may correction coming via market,-1
81,cryptogist bitcoin price dip k genesis woe exec defend gbtc latest casualty ftx meltdown raise concern grayscale bitcoin trust institutional investment fund,-1
82,crypto investor cryptocrash bitcoin cryptocurrencynews,-1
83,elonmusk bitcoin hate u,-1
84,cashapp would party bitcoin wasnt dropping like cashappfridaynight crashrs,-1
85,bitcoin got screwed nigeria big volume pp rank bitcoin btc nice one,-1
86,btc price right compared last tweet price dropped last hour price dropped bitcoin btc,-1
87,look scam surrounding cryptocurrency limit risk trade crypto bitcoin crypto fraud,-1
88,remember im gon na say bitcoin never lower favourite ct influencers careful listen,-1
89,today snapshot news medium topic competing btc bitcoin crypto analyzed article overall medium sentiment negative,-1
90,chinese central bank prohibits bank offering financial service could used trading cryptocurrencies like bitcoin,-1
91,big investor michael burry return twitter spread fear make money btc eth ethereum crypto bitcoin,-1
92,look bright side may bitcoin degenerate gambler least youre dogecoin degenerate gambler,-1
93,like willy read tweet notice actually vague lot time actually provide lot detail,-1
94,bitcoin price shed k minute u cpi inflation overshoot bitcoin,-1
95,mayhemmarkets real question going happen btc corrects couple day btc corrected le,-1
96,bitcoinyuri blockstream sorry longer interested bitcoin,-1
97,bloody sunday btc eth cryptonews,-1
98,invested stimulus check bitcoin investment worth investment btc current price,-1
99,khunfyp btcmanager maybe youre hysterical someone call bitcoin cash scam,-1
100,bitcoin btc bull divs h opened small long targeting area around k,0
