,text,sen
0,hard know near harmed would hug cryptocrash bitcoin bnb,-1
1,go home bitcoin drunk,-1
2,btc go k disproves previous cycle top next cycle bottom good dont see dont point never worse macro enviroment btc era interesting see play,-1
3,ive used kraken small x leverage longs rollover fee every hour seemed expensive,-1
4,closer k k btc,-1
5,look like king ponzi btc dump peasant banksters know one hate yet begged invest billion ponzi going rek worm youll one blame absolute fool bitcoin btc,-1
6,cardano founder point flaw ethereum bitcoin bitcoin ethereum via,-1
7,cointelegraph sorry longer interested bitcoin,-1
8,bitcoin manipulation finest weekend nothing like dump pump span couple hour,-1
9,rektcapital well almost looking btc last week say next halving seriously,-1
10,binance fact around bitcoin lost forever bitcoinbutton binance,-1
11,future wife jus gave dude dry hand job thought bitcoin plummeting meanwhile im bitch,-1
12,ma trust retail crypto investment mulling regulation crypto bitcoin ethereum,-1
13,bitcoin dead kinzcash alive,-1
14,fell whats next support,-1
15,invested bitcoin year ago alltime high youd,-1
16,cbdcs concocted hell satan say asi president rich checkan btc bitcoinnews bitcoin,-1
17,damage done though got rekt big hill climb back hodl,-1
18,bitcoin czbinance scammer crypto dont use bnbchain stealing money bnbchain pumping gmt token bnb token rugpulls also czbinance scammer crypto,-1
19,guggenheim minerd say bitcoin could fall currency theyre currency theyre junk said,-1
20,bonafidefluke fear btc umb isp,-1
21,like lamborghini said accept bitcoin nobody want fucking tesla,-1
22,czbinance child trafficking world pizza symbol podephiles sex kid interesting correlation btc stolen use human trafficking among thing,-1
23,must missed memosorry bud,-1
24,bitcoin btc back earth nice easy landing bullish hard work vanished hard work thats call bear market,-1
25,hows hell like,-1
26,annoy fuck everyone,-1
27,bought dip selling making power move,-1
28,wtf dream seeing btc bnb eth dream,-1
29,hate finance bros took bitcoin pegged fiat bitcoin could inflation hedge supposed finance bros,-1
30,traditional market closed thing freaking ponzi btc bitcoin btc,-1
31,bitcoin bear market may take btc price k say trader stock due capitulation bitcoin via,-1
32,bitcoin one thing sbf could control manipulatebut probably great thing,-1
33,intelligent human actually still listen guywhat emotionally wrong weak interpretation wrongit better admit suck get right next time rather continue leading emotion sucking bitcoin,-1
34,good morning everyone except bitcoin bear hope youre terrible day,-1
35,punk btc solves everything go zero,-1
36,glad ive learn crypto back cant imagine bitcoin still k,-1
37,davidgokhshtein institution reason buy shitcoin btc,-1
38,joshbtchodl ftxofficial unless vlp brings financial benefit see reason continue add btc usdc still seems reign supreme investvoyager,-1
39,move btc new pump town went grocery shopping stock market wow,-1
40,brentlindeque bitcoin rendered government nonessential service,-1
41,bitcoin derivative data suggests bear pin btc k leading friday option expiry cryptocurrency crypto bitcoin,-1
42,pwthornton bitcoin fan fuck fdic big government regulation also bitcoin fan fuck happened money,-1
43,sold land house car even borrowed money bought bitcoin k april thinking keep going one day learn lesson dont make investment decision greed praisesnuggets bitcoin,-1
44,maxkeiser imagine building ponzi big could buy thousand bitcoin still crash hard lose hour epic fail goat level fail,-1
45,getting real tired bitcoins bipolar bitch as btc,-1
46,anyone know mana moon hard broke mana crypto bitcoin btc,-1
47,proof stake terrible idea feed rich powerful like fiat,-1
48,afaqshah philakonecrypto wishing ill upon bitcoin rude,-1
49,typical rbitcoin user he used grandma birthday money buy btc he cry he,-1
50,depression type irresponsible statement going hurt new investor misled buy wrong time btc going fall due ftx genesis crisis crypto market absolutely chance btc going k week,-1
51,man thats everyone first time thats stressful thing little hard youre trying send cold storage thats,-1
52,day bitcoin getting little battered amp downer interesting coinbase moment amp jumped number popularity also buy sell ratio way almost say amp accumulation going go,-1
53,darknet crypto mixer operator pleads guilty laundering m btc bitcoinnews bitcoin,-1
54,almost bottom bitcoin btc,-1
55,danheld bitcoin give back sometime take together,-1
56,new trezor paid fee btc move k worth btc coinbase pro trezor normal much money transfer fund,-1
57,stackthefuture agreed diet bitcoin totally unrelated another toxic part bitcoin community,-1
58,prediction satoshi come hiding talk shit bitcoin cash bch btc,-1
59,well something bot somebody whale gave btc nice shot arse look good flatline last couple day grab moon boot justincase,-1
60,person american news anchorman asked thinking amazon accepting soon bitcoin payment person wasnt even director chief amazon dont know people panicked,-1
61,bitcoin scam app approved apple robs iphone user bitcoin bitcoinmining,-1
62,bitcoin core cult trapped world platonic form danielkrawisz satoshisvision conference,-1
63,bitcoin eth bnb po investment scam started ending full scam,-1
64,bitcoin dogecoin ethereum crashing here,-1
65,overall every market performing well looking current inflation war covid situation highly unlikely see btc rise see pump see dump cryptotrading,-1
66,mattstirner get pas fact btc old gas guzzling tech basically obsolete compared new blockchain tech like theory behind btc utopia society without whale shark conartists like musk saylor might actually work,-1
67,bitcoin going,-1
68,flyguyinthesky bitcoin stink,-1
69,one michael saylor pomp joe lubein claytonhinman buying movie ticket btc eth,-1
70,breedlove saying bribe bitcoin health passport guard massive asset appreciation black market mmm interesting theory could work,-1
71,edmonton international student warns others losing k phone scammer cbc news bitcoin btc,-1
72,overused statement crypto bitcoin understand,-1
73,fun fact bitcoin weekly closed red second time row last time btc closed two red week row following week green fact hasnt weekly close row year june,-1
74,got ta say fucking suck trading btc,-1
75,ladyofcrypto bitcoin b cheap coming day week minute,-1
76,know late listened yesterday learnt much comparison bitcoin cult persuasive chilling,-1
77,wtf woke crazy,-1
78,bad news bitcoin decline current rate usd btc,-1
79,another month crashing,-1
80,another exchange held bullshit native token worthless attacked,-1
81,really rallying musk tweet whatever view bitcoin fact one twitter account move entire market good asset,-1
82,never calm see net worth take absolute nose dive real time epic bitcoin,-1
83,easyeight someone please delete btc,-1
84,startonio czbinance binance bitcoin dipping deeper old resistance area effort flip new support area weekly retest progress ethbtc super underrated bitcoiner ive taking tweet tip seriously ive superb,-1
85,bitcoin literally crashing,-1
86,yes btc crash run sadly missed btc ever k seriously doubt hey one know sure anything possible im saying opinion likely think btc rose last time downhill stop around k would best nonexpert guess,-1
87,ummmm bottom zero needed telescope see needed binoculars see need look,-1
88,go fuck bum,-1
89,intocryptoverse aagain one accurate short term bitcoin prediction,-1
90,someone advice invest bitcoin crypto investor today,-1
91,crypto collectible worthless without website,-1
92,see lot u buying dip exactly sentiment bad usually positive thing positive friday downright ugly go low s hit moonbois go nut everyone put money dump shorters put new position everyone say zoom zoom look like shit interspersed moonbois wyckoff wackoffs actual normal people real money want lose profit confidence inspiring thing,-1
93,russia implement plan disconnect internet limit internal addressing mean hashrate btc go therefore price,-1
94,bitcoin currently tired going space visiting moon seems like earth core new destination btc btc,-1
95,take btc future etf approval inefficient investment product longterm investor yet confirmation digitalassets mainstream bitcoin,-1
96,crippledogecoin thecryptolark yea paid doge there shiba inu ski cant buy doge without buying large variety doge food feed doge bitcoin,-1
97,make think asset overvalued last two year,-1
98,btc bitcoin fun watch fall close many long term investor around,-1
99,cryptohammie volume fucking shit bitcoin btc going zero tomorrow,-1
100,intocryptoverse exactly trading bitcoin high leverage overly excited move three day falling,0
101,laughing hard people buying k hesitant buy k,0
102,janet yellen dump bitcoins,0
103,btc equal eur bitcoin euro,0
104,ric flair wooo loudly lab bos know take day k,0
105,major price action happening within next hour btc btc cryptocurrencies cryptotrading,0
106,binance recovers m fund connected ronin bridge exploit btc cryptonews nft,0
107,short one entry price stop loss link bio tz btc bitcoin one,0
108,apparently within sf range still,0
109,current bitcoin price btc crypto,0
110,see lot people calling k bottom bull market support band going k would mean party,0
111,dont think understand bitcoin investing work,0
112,bitcoin block byte transaction btc reward information visit,0
113,brb throwing away economics textbook,0
114,ill find lambo bridge,0
115,btc support zone k,0
116,long yfi entry price stop loss telegram channel link bio tz btc bitcoin lrc inch,0
117,link buy blockchaincom explorer,0
118,failure bitcoin banking hodlers fix bitcoin,0
119,somebody really pushing right,0
120,certain amount comfort threshold person invest wallet wallet cost game really worth everyone paranoid exchange coin sits get hacked crash whatever use shakepay trust life anything feel somewhat comfortable leaving btc feel good time cash maybe wallet diehard way invested,0
121,fair could happen one would think short would pile thing need happen long squeeze,0
122,trillionusd hear still bitcoin available buy,0
123,btc usd move unknown wallet unknown wallet date gmt blockchain bitcoin symbol btc detail,0
124,holy shit last minute better tv thats sure,0
125,thedustybc dont know yet anyone know work btc,0
126,trending enter longclose short btcusd follow alert btc doge crypto,0
127,exited longs got bought back reference netlongs checking footprint stats comparing previous reaction always bounce day different time need test ema get fully sent btc bitcoin crypto,0
128,btc clean breakout top range trading consecutive week nice retest support held breakout expect shallow dip continue higher wave lavax brwl opct luna kara vra trias ax gmt,0
129,btc transferred unknown wallet unknown wallet tx blockchain btc,0
130,leverage good bad bitcoin,0
131,watch airdrop prcy prcy per referral airdrop bitcoin youtube,0
132,current bitcoin price btc crypto,0
133,btc price bitstamp usd btc bitcoin,0
134,pathetic bitcoins normal bullbear trend look past chart k coming,0
135,yea bad bought mine lol happy hold honestly one least faith point see brings table really,0
136,scan result gateio h top bullish trend btc pair wave xmc xvg renbtc ddd top bullish trend usdt pair kasta orion yct tpt nsbt gateio result buy signal,0
137,mmcrypto market overview btc price trade k top traded different direction xrp ada luna market cap t btc dominance fear greed index fear,0
138,calling bullish thus taking harm,0
139,new block found bitcoin network block height current bitcoin price sat left mine,0
140,trending crypto alert bitcoin btc trading usd price change day high day low volume market cap market rank cryptocurrency crypto,0
141,get popular hardware wallet trezor one bitcoin,0
142,high leverage available trader sure part play even time leverage cash settled trade worth whale buy physical bitcoin even loss massive leverage make cash settled contract make money physical cash settled contract tradesbut someone could literally buy bitcoin intentionally triple current market price theoretically overpay still come golden using leverage make profit like whale shorted using leverage took profit selling physical bitcoin there many bitcoin around trade game theory physically backed btc cash settled contract x leverage whole nee chapter wealth creation part parade watch go byyou choose,0
143,green green depending exchange one us seems change narrative drastically btc made mind yet strong argument sentiment supporting ta side tread carefully head weekend monthly closing nopaidservice,0
144,exactly people talking whale attack think people lot money invested crypto live life playing mind game ocean joe people investing money want make money period,0
145,already sent email spot get approved gbtc gap overnight,0
146,block th jun gmt tx value m distributed recipient mined remaining bitcoin tictoknextblock,0
147,bitcoin metric say bitcoin go parabolic,0
148,btc bitcoin double top,0
149,bitcoin need close daily timeframe still trapped inside ichimoku cloud btc,0
150,btcarchive analytical team done detailed analysis regarding btc fear greed index neutral moment price usd think current bitcoin state,0
151,bitcoin bullrun could done indexbtcusd shytrader btcusd,0
152,btc btc eth eth bnb bnb,0
153,bitcoin daily closed sr expect expand today,0
154,use cashapp buy well never seen problem buying maybe connection issue,0
155,philadelphia er suspend ben simmons one game detrimental conduct joel embiid say job babysit somebody blockchain tron bitcoin,0
156,non kyc exchange trading bitcoin crypto cryptocurrecy,0
157,apr around percent yes,0
158,trolling serious advice dont wan na lose money mean wont debt anything still lot,0
159,new bitcoin price zone detected going down unlock btc zone detection join telegram group pm u trial period group ended prediction,0
160,btc usd transferred seudpnxmhxtcdvaytauhjpypwnkgpv bcqxzsgszgatzdsalpnsgqyfuwckngg tx hash bcffbfeeceaaaeeafbfbbbedda bitcoin btc,0
161,worst scenario happen ready btc,0
162,saylor elonmusk forgot say bitcoin,0
163,dot long alert exchange ftx market dot perp volume price btc btc eth eth,0
164,china banning bitcoin mining positive news btc infrastructure need free state oppression chinese state big fan regulation oppression btc mining farm relocating better whole cryptocurrency industry,0
165,btc btc eth eth bnb bnb,0
166,dont think due today wasnt today date stopped accepting comment,0
167,bitcoin whale alert tx bdacabcabecbbfefebaeddedcaadacd addr dozkuovruqhbkdxgvnljqzfxx btc blockdate btcwhalealert bitcoin,0
168,btc usd transferred bcqnwupzkytuzfkmevylrngumlgy bcqjsfahjdtkccqngfvzzmesrgqheq tx hash fdcbcafebcdbbeecfbbcdfbae bitcoin btc crypto,0
169,limit buy cash app buying bitcoin went,0
170,get feeling restless day finger aching buy preferably lowest point cant predict,0
171,see elonmusk still doesnt understand bitcoin,0
172,bullwhale longed worth bitcoin btc binance future,0
173,part firstly bitcoin rise longs accumulates end period price return exactly started drop,0
174,block th jul gmt tx value m distributed recipient mined remaining bitcoin tictoknextblock,0
175,bitcoin massive market movement imminent,0
176,wjvalk investanswers fossgregfoss jeffbooth canadian started buying canadian spot etf inside tfsa able orange pill amazing wife switched buying bitcoin direct shakepay moving cold storage thank investanswers jeffbooth fossgregfoss others forhelping,0
177,satsdart bitcoin btc btc adx show weekly fake bull trend,0
178,ledger vote good ledger better doc harder fuck,0
179,k gn yall btc,0
180,bitcoin ethereum trading slightly new alltime high funding rate future premium positive territory nearly overheated may crash btc eth ethbtc sol dot atom ltc,0
181,kshib long alert ticker kshib market kshibperp volume price btc btc eth eth,0
182,houston astros v texas ranger bitcoin betting,0
183,block th jan gmt tx value m distributed recipient mined remaining bitcoin tictoknextblock,0
184,come brand new chicken,0
185,goingparabolic parabolic move incoming btc,0
186,btc price h change stonks bitcoin btc,0
187,understanding bitcoin price actiontelegram group advancing knowledge market telegram also know navigate market proficiencyefficiency like a telegram know invest instruction telegram know expect btc cryptocurrencies,0
188,new report bitcoin filing entity digihost technology inc name frb registration statement ex filed reporting form,0
189,minute think btc spike drop,0
190,huobiglobal predict bitcoin k,0
191,bitcoin btc current price h h d d btc bitcoin,0
192,gon na really tough far wait possible trust anyone much,0
193,scan result kucoin m top bullish trend btc pair wxt xmr ltx zcx cpc top bullish trend usdt pair marsh dao xmr luna wom kucoin result buy signal,0
194,cbbi bitcoin price pi cycle top indicator ruplnupl chart rhodl ratio puell multiple year moving average bitcoin trolololo trend line mvrv zscore reserve risk woobull crypto,0
195,anyone buy direct trezoris better exchange transfer,0
196,betting wont go maybe ask stake,0
197,bitcoin bitcoin btc btcusd,0
198,idk maybe k breakout longer win going bet th time btc,0
199,way mitigate tether effect would use bitcoin real world currency daily transaction rather currently used mostly speculation,0
200,acceldefi sure bro btc year change defi game acceldefi,1
201,week great day strap,1
202,u economyfiscal policy starting show crack u presidential election trump go jail reelected tanking u economy mean trump wont get reelected trump triesdoes anything desperation chaos btc best place hold wealth,1
203,scottmelker btc broke last ath currently k finally bull run phase waited long time yes alt follow everyone follow btcidd super underrated bitcoiner incredible writing tweet tip follow,1
204,bitcoin got close fib area everything look bullish key hurdle hitpass see behavior btc,1
205,youve got wrong know bitcoin pump two week dont expect pump next two week,1
206,crazy think trading bitcoin since year game,1
207,step live peace low time preference discover bitcoin understand dont look price,1
208,mythical game raise million series c funding round led az bitcoin news bitcoin,1
209,used like idea bitcoin accruing additional level idea wallet also understand mass adoption occurs people likely keeping place like voyager coinbase,1
210,visa suspended service russia paypal suspended service russia remitly suspended service russia mastercard suspended service russia bitcoin still serf russia one stop crypto cryptocurrencies cryptocurrency shibtoken btc mattwallace,1
211,remember folk said bitcoin scam good time,1
212,ilovejaneadams chance buy bitcoin year ago,1
213,senlummis integrating bitcoin priority proposal hope mix altcoin security ethical company trying capitalize moment,1
214,bitcoin dominates t crypto market btc bch bsv btg bcd,1
215,guarantee bitcoin bull run regretscomplains shouldve never sold coin bear season brought,1
216,long term game ive since even thought super late guy bought cent x central bank end buying thing rip north k within day central bank start competing youll sitting pretty stack dont idiot trade keep stacking point btcs history wouldve made money held year,1
217,think going start sprinting next year,1
218,dumped would demoralizing event bitcoin good thing there supply shock,1
219,everyone favor get cor making lot money last day perfect,1
220,yeah lol rh account got approved like couple day trading halt shenanigan happened figured id use anyway kept plopping little little money started bothering none buying actually mine trezor look super solid dont think justify price right considering couple hundred dollar put crypto moment keep pretty clean rig plus use virtual machine enter private key pc ill look around review im kind leaning toward trezor one thanks,1
221,zbdplay favourite sure great bitcoin integration im waiting sarutobi best one meplevorzbdgg,1
222,btcfuel btc always bullish fud bullish signal,1
223,cryptovinco least saylor still holding onto bitcoin dollar worthless anyways,1
224,ok basically bitcoin enjoying ride bitcoin,1
225,dylanleclair current price usd bitcoin well way moon price may feel incredibly high nonrouted emotional feeling follow kathycryp super underrated bitcoiner incredible writing tweet tip,1
226,bitcoin better used peer peer work better way lot fee,1
227,people selling bitcoin trying figure sell get payday come soon enough,1
228,therealtahinis ive waiting year somebody figure out petrodollar haram btc halal move el salvador sharia bitcoin revolution hot tail halal cc maxkeiser stacyherbert need whole series show thread,1
229,yall need start cry pumping cant stack much fomoing crashing,1
230,btc smashed ath today billion still proper blockchain crypto knowledge congratulation new crypto educating million one course time,1
231,enemy monetary system base money transfer creating targeted scarcity bitcoin born set u free enemy,1
232,noolspark daventuri bampotpirate jayberjay new friend priceless everything else bitcoin,1
233,cashapp bitcoin way meltedcube,1
234,ibm learn trade bitcoin invest bitcoin control profit earn investment capital within day bitcoin ethereum doge,1
235,bitcoin long entered btc come bull,1
236,satisfied creator bitcoin bitcoinbutton bitcoin,1
237,hey mate peterschiff shiny rock crashed almost btc btc mode,1
238,like way thinking buy log cabin fam also go homeless cat need place stay,1
239,sushi nd target achieved within hour congrats followed sushi btc egld sol luna matic vra ersdl igg ubx mir coti ksm hnt ftt kc tel trias dot ftm vnla fet oxt rsr mir lit lina,1
240,project built good development open longterm opportunity every user also project developing rapidlyi believed success future ascendex bitcoin defi hariom sumitk jaising,1
241,breaking news chipotle accepting bitcoin ethereum cryptocurrencies form payment bullish,1
242,krakenfx crypto millionaire greatest philanthropist world ever seen know like nothing im still working minimum wage job discount store despite gaining heavily crypto follow berniedoranfx guide btc earning tip tweet,1
243,obiwankenobit bitcoin year compared last year,1
244,fascinating story btc future finance,1
245,btc go moon k fly,1
246,public blockchains shift distribution trust replacing institution rely centralized authority decentralized opensource software first profound application bitcoin,1
247,btc accepted phone booth soon enough,1
248,shitcoins still shitcoins even self custody dont fooled turn bitcoin,1
249,happy bitcoin pizza day good afternoon,1
250,imagine impact bitcoin lightning node management automated growth take hahaha fiat shitcoins go poof,1
251,accurate af nfts nftcommumity bitcoin,1
252,food thought btc crypto stay let sink,1
